FLO9	YAL063C	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
EAP1	YKL204W	EAP1	eIF4E-associated protein, competes with eIF4G for binding to eIF4E; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade
TOR2	YKL203C	TOR2	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that regulates growth in response to nutrients and TORC2, a complex that regulates cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis
PTK1	YKL198C	PTK1	Putative serine/threonine protein kinase that regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein
MST1	YKL194C	MST1	Mitochondrial threonyl-tRNA synthetase
ACP1	YKL192C	ACP1	Mitochondrial matrix acyl carrier protein, involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p
HYM1	YKL189W	HYM1	Component of the RAM signaling network that is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with Kic1p and Sog2p, localizes to sites of polarized growth during budding and during the mating response
LOT5	YKL183W	LOT5	Protein of unknown function; gene expression increases in cultures shifted to a lower temperature
PRS1	YKL181W	PRS1	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes
RPL17A	YKL180W	RPL17A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Bp and has similarity to E. coli L22 and rat L17 ribosomal proteins; copurifies with the Dam1 complex (aka DASH complex)
SNU114	YKL173W	SNU114	GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2
EBP2	YKL172W	EBP2	Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering
PIR3	YKL163W	PIR3	O-glycosylated covalently-bound cell wall protein required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway
KDX1	YKL161C	KDX1	Protein kinase implicated in the Slt2p mitogen-activated (MAP) kinase signaling pathway; interacts with numerous components in the mating pheromone and CWI MAPK pathways; associates with Rlm1p
APE2	YKL157W	APE2	Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; sequence coordinates have changed since RT-PCR analysis showed that the adjacent ORF YKL158W comprises the 5' exon of APE2/YKL157W
RPS27A	YKL156W	RPS27A	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps27Bp and has similarity to rat S27 ribosomal protein
YKL153W	YKL153W	YKL153W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; transcription of both YLK153W and the overlapping essential gene GPM1 is reduced in the gcr1 null mutant
GPM1	YKL152C	GPM1	Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis
RRN3	YKL125W	RRN3	Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA
SRP21	YKL122C	SRP21	Subunit of the signal recognition particle (SRP), which functions in protein targeting to the endoplasmic reticulum membrane; not found in mammalian SRP; forms a pre-SRP structure in the nucleolus that is translocated to the cytoplasm
OAC1	YKL120W	OAC1	Mitochondrial inner membrane transporter, transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
YKL107W	YKL107W	YKL107W	Putative protein of unknown function; proposed to be a palmitoylated membrane protein
GFA1	YKL104C	GFA1	Glutamine-fructose-6-phosphate amidotransferase, catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis
YKL102C	YKL102C	YKL102C	Dubious open reading frame unlikely to encode a functional protein; deletion confers sensitivity to citric acid; predicted protein would include a thiol-disulfide oxidoreductase active site
YPF1	YKL100C	YPF1	Putative protein of unknown function with similarity to a human minor histocompatibility antigen and signal peptide peptidases; YKL100C is not an essential gene
CWP2	YKL096W-A	CWP2	Covalently linked cell wall mannoprotein, major constituent of the cell wall; plays a role in stabilizing the cell wall; involved in low pH resistance; precursor is GPI-anchored
CWP1	YKL096W	CWP1	Cell wall mannoprotein that localizes specifically to birth scars of daughter cells, linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance
BUD2	YKL092C	BUD2	GTPase activating factor for Rsr1p/Bud1p required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types
CAB3	YKL088W	CAB3	Subunit of a phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaBC
SRX1	YKL086W	SRX1	Sulfiredoxin, contributes to oxidative stress resistance by reducing cysteine-sulfinic acid groups in the peroxiredoxin Tsa1p, which is formed upon exposure to oxidants; conserved in higher eukaryotes
HOT13	YKL084W	HOT13	Zinc-binding mitochondrial intermembrane space (IMS) protein involved in a disulfide relay system for IMS import of cysteine-containing proteins; binds Mia40p and stimulates its Erv1p-dependent oxidation, probably by sequestering zinc
TEF4	YKL081W	TEF4	Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex
STB6	YKL072W	STB6	Protein that binds Sin3p in a two-hybrid assay
YNK1	YKL067W	YNK1	Nucleoside diphosphate kinase, catalyzes the transfer of gamma phosphates from nucleoside triphosphates, usually ATP, to nucleoside diphosphates by a mechanism that involves formation of an autophosphorylated enzyme intermediate
FBA1	YKL060C	FBA1	Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress
NUP120	YKL057C	NUP120	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); required for even distribution of NPCs around the nuclear envelope, involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; the Nup84 subcomplex has a role in transcription elongation
TMA19	YKL056C	TMA19	Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and relocates to the mitochondrial outer surface upon oxidative stress
DEF1	YKL054C	DEF1	RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex; mutant is deficient in Zip1p loading onto chromosomes during meiosis
ASK1	YKL052C	ASK1	Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases
PHD1	YKL043W	PHD1	Transcriptional activator that enhances pseudohyphal growth; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; regulates expression of FLO11, an adhesin required for pseudohyphal filament formation; similar to StuA, an A. nidulans developmental regulator; potential Cdc28p substrate
UGP1	YKL035W	UGP1	UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p
YKL030W	YKL030W	YKL030W	Hypothetical ORF
MAE1	YKL029C	MAE1	Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids
TCD2	YKL027W	TCD2	Protein of unknown function, localized to the mitochondrial outer membrane
URA6	YKL024C	URA6	Uridylate kinase, catalyzes the seventh enzymatic step in the de novo biosynthesis of pyrimidines, converting uridine monophosphate (UMP) into uridine-5'-diphosphate (UDP)
MAK11	YKL021C	MAK11	Protein involved in an early, nucleolar step of 60S ribosomal subunit biogenesis; essential for cell growth and replication of killer M1 dsRNA virus; contains four beta-transducin repeats
SWD2	YKL018W	SWD2	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lys 4 and is involved in telomeric silencing; subunit of CPF (cleavage and polyadenylation factor), a complex involved in RNAP II transcription termination
PUT3	YKL015W	PUT3	Transcriptional activator of proline utilization genes, constitutively binds PUT1 and PUT2 promoter sequences and undergoes a conformational change to form the active state; has a Zn(2)-Cys(6) binuclear cluster domain
URB1	YKL014C	URB1	Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit
MRT4	YKL009W	MRT4	Protein involved in mRNA turnover and ribosome assembly, localizes to the nucleolus
SFT1	YKL006C-A	SFT1	Intra-Golgi v-SNARE, required for transport of proteins between an early and a later Golgi compartment
RPL14A	YKL006W	RPL14A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Bp and has similarity to rat L14 ribosomal protein; rpl14a csh5 double null mutant exhibits synthetic slow growth
AUR1	YKL004W	AUR1	Phosphatidylinositol:ceramide phosphoinositol transferase (IPC synthase), required for sphingolipid synthesis; can mutate to confer aureobasidin A resistance
MET14	YKL001C	MET14	Adenylylsulfate kinase, required for sulfate assimilation and involved in methionine metabolism
PAP1	YKR002W	PAP1	Poly(A) polymerase, one of three factors required for mRNA 3'-end polyadenylation, forms multiprotein complex with polyadenylation factor I (PF I), also required for mRNA nuclear export; may also polyadenylate rRNAs; required for gene looping
SAP190	YKR028W	SAP190	Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p
GMH1	YKR030W	GMH1	Golgi membrane protein of unknown function, interacts with Gea1p and Gea2p; required for localization of Gea2p; computational analysis suggests a possible role in either cell wall synthesis or protein-vacuolar targeting
GAP1	YKR039W	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed
UIP5	YKR044W	UIP5	Protein of unknown function that interacts with Ulp1p, a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates
YKR045C	YKR045C	YKR045C	Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm
NAP1	YKR048C	NAP1	Protein that interacts with mitotic cyclin Clb2p; required for the regulation of microtubule dynamics during mitosis; controls bud morphogenesis; involved in the transport of H2A and H2B histones to the nucleus; phosphorylated by CK2
FMP46	YKR049C	FMP46	Putative redox protein containing a thioredoxin fold; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
HFL1	YKR051W	HFL1	Putative protein of unknown function
DYN1	YKR054C	DYN1	Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p
RHO4	YKR055W	RHO4	Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins, likely to be involved in the establishment of cell polarity
RPS21A	YKR057W	RPS21A	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps21Bp and has similarity to rat S21 ribosomal protein
TIF1	YKR059W	TIF1	Translation initiation factor eIF4A, identical to Tif2p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G
KTR2	YKR061W	KTR2	Mannosyltransferase involved in N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family
LAS1	YKR063C	LAS1	Essential nuclear protein possibly involved in bud formation and morphogenesis; mutants require the SSD1-v allele for viability
PAM17	YKR065C	PAM17	Constituent of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); proposed alternatively to be a component of the import motor (PAM complex) or to interact with and modulate the core TIM23 complex
SIS2	YKR072C	SIS2	Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis
TRZ1	YKR079C	TRZ1	tRNA 3'-end processing endonuclease tRNase Z; also localized to mitochondria and interacts genetically with Rex2 exonuclease; homolog of the human candidate prostate cancer susceptibility gene ELAC2
MTD1	YKR080W	MTD1	NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase, plays a catalytic role in oxidation of cytoplasmic one-carbon units; expression is regulated by Bas1p and Bas2p, repressed by adenine, and may be induced by inositol and choline
HBS1	YKR084C	HBS1	GTPase with similarity to translation release factors; together with binding partner Dom34p, facilitates ribosomal subunit dissociation and peptidyl-tRNA release when translation is stalled; genetically implicated in mRNA no-go decay
MRPL20	YKR085C	MRPL20	Mitochondrial ribosomal protein of the large subunit
PRP16	YKR086W	PRP16	DEAH-box RNA helicase involved in second catalytic step of splicing; exhibits ATP-dependent RNA unwinding activity; mediates the release of Yju2p and Cwc25p in the second step; in the absence of ATP, stabilizes the binding of Cwc25p to the spliceosome in the first catalytic step
TVP38	YKR088C	TVP38	Integral membrane protein localized to late Golgi vesicles along with the v-SNARE Tlg2p; required for asymmetric localization of Kar9p during mitosis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern
SRP40	YKR092C	SRP40	Nucleolar, serine-rich protein with a role in preribosome assembly or transport; may function as a chaperone of small nucleolar ribonucleoprotein particles (snoRNPs); immunologically and structurally to rat Nopp140
RPL40B	YKR094C	RPL40B	Fusion protein, identical to Rpl40Ap, that is cleaved to yield ubiquitin and a ribosomal protein of the large (60S) ribosomal subunit with similarity to rat L40; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes
BAS1	YKR099W	BAS1	Myb-related transcription factor involved in regulating basal and induced expression of genes of the purine and histidine biosynthesis pathways; also involved in regulation of meiotic recombination at specific genes
SKG1	YKR100C	SKG1	Transmembrane protein with a role in cell wall polymer composition; localizes on the inner surface of the plasma membrane at the bud and in the daughter cell
GEX2	YKR106W	GEX2	Proton:glutathione antiporter localized to the vacuolar and plasma membranes; expressed at a very low level; almost identical to paralog Gex1p; potential role in resistance to oxidative stress and modulation of the PKA pathway
MHT1	YLL062C	MHT1	S-methylmethionine-homocysteine methyltransferase, functions along with Sam4p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio
MMP1	YLL061W	MMP1	High-affinity S-methylmethionine permease, required for utilization of S-methylmethionine as a sulfur source; has similarity to S-adenosylmethionine permease Sam3p
YLL056C	YLL056C	YLL056C	Putative protein of unknown function, transcription is activated by paralogous transcription factors Yrm1p and Yrr1p and genes involved in pleiotropic drug resistance (PDR); expression is induced in cells treated with the mycotoxin patulin
YLL053C	YLL053C	YLL053C	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
AQY2	YLL052C	AQY2	Water channel that mediates the transport of water across cell membranes, only expressed in proliferating cells, controlled by osmotic signals, may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains
YBT1	YLL048C	YBT1	Transporter of the ATP-binding cassette (ABC) family involved in bile acid transport; similar to mammalian bile transporters
RNP1	YLL046C	RNP1	Ribonucleoprotein that contains two RNA recognition motifs (RRM)
RPL8B	YLL045C	RPL8B	Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits
PRP19	YLL036C	PRP19	Splicing factor associated with the spliceosome; contains a U-box, a motif found in a class of ubiquitin ligases, and a WD40 domain
YLL032C	YLL032C	YLL032C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene
GPI13	YLL031C	GPI13	ER membrane localized phosphoryltransferase that adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein
TPO1	YLL028W	TPO1	Polyamine transporter that recognizes spermine, putrescine, and spermidine; catalyzes uptake of polyamines at alkaline pH and excretion at acidic pH; phosphorylation enhances activity and sorting to the plasma membrane
SSA2	YLL024C	SSA2	ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall; 98% identical with Ssa1p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes
POM33	YLL023C	POM33	Transmembrane nucleoporin involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p
COX19	YLL018C-A	COX19	Protein required for cytochrome c oxidase assembly, located in the cytosol and mitochondrial intermembrane space; putative copper metallochaperone that delivers copper to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs
DPS1	YLL018C	DPS1	Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation
YEH1	YLL012W	YEH1	Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes
PSR1	YLL010C	PSR1	Plasma membrane associated protein phosphatase involved in the general stress response; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p
DRS1	YLL008W	DRS1	Nucleolar DEAD-box protein required for ribosome assembly and function, including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles
NOC3	YLR002C	NOC3	Protein that forms a nuclear complex with Noc2p that binds to 66S ribosomal precursors to mediate their intranuclear transport; also binds to chromatin to promote the association of DNA replication factors and replication initiation
CMS1	YLR003C	CMS1	Subunit of U3-containing 90S preribosome processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit; overexpression rescues supressor mutant of mcm10; null mutant is viable
SSK1	YLR006C	SSK1	Cytoplasmic response regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate
PAM18	YLR008C	PAM18	Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p
RLP24	YLR009W	RLP24	Essential protein with similarity to Rpl24Ap and Rpl24Bp, associated with pre-60S ribosomal subunits and required for ribosomal large subunit biogenesis
BRE2	YLR015W	BRE2	Subunit of COMPASS (Set1C) complex, which methylates Lys4 of histone H3 and functions in silencing at telomeres; has a C-terminal Sdc1 Dpy-30 Interaction (SDI) domain that mediates binding to Sdc1p; similar to trithorax-group protein ASH2L
MEU1	YLR017W	MEU1	Methylthioadenosine phosphorylase (MTAP), catalyzes the initial step in the methionine salvage pathway; affects polyamine biosynthesis through regulation of ornithine decarboxylase (Spe1p) activity; regulates ADH2 gene expression
SDO1	YLR022C	SDO1	Essential protein involved in 60S ribosome maturation; ortholog of the human protein (SBDS) responsible for autosomal recessive Shwachman-Bodian-Diamond Syndrome; highly conserved across archae and eukaryotes
SNF7	YLR025W	SNF7	One of four subunits of the endosomal sorting complex required for transport III (ESCRT-III); involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway; recruited from the cytoplasm to endosomal membranes
ADE16	YLR028C	ADE16	Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade17p; ade16 ade17 mutants require adenine and histidine
RPL15A	YLR029C	RPL15A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA
YLR030W	YLR030W	YLR030W	Putative protein of unknown function
YLR031W	YLR031W	YLR031W	Putative protein of unknown function
PAU23	YLR037C	PAU23	Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth
COX12	YLR038C	COX12	Subunit VIb of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated
AFB1	YLR040C	AFB1	Putative protein of unknown function; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W; YLR040C is not essential
YLR041W	YLR041W	YLR041W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YLR040C
TRX1	YLR043C	TRX1	Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance
PDC1	YLR044C	PDC1	Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde; subject to glucose-, ethanol-, and autoregulation; involved in amino acid catabolism
FRE8	YLR047C	FRE8	Protein with sequence similarity to iron/copper reductases, involved in iron homeostasis; deletion mutant has iron deficiency/accumulation growth defects; expression increased in the absence of copper-responsive transcription factor Mac1p
RPS0B	YLR048W	RPS0B	Protein component of the small (40S) ribosomal subunit, nearly identical to Rps0Ap; required for maturation of 18S rRNA along with Rps0Ap; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal
FCF2	YLR051C	FCF2	Essential nucleolar protein involved in the early steps of 35S rRNA processing; interacts with Faf1p; member of a transcriptionally co-regulated set of genes called the RRB regulon
SHM2	YLR058C	SHM2	Cytosolic serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis
FRS1	YLR060W	FRS1	Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe, which could contribute to translational quality control
RPL22A	YLR061W	RPL22A	Protein component of the large (60S) ribosomal subunit, has similarity to Rpl22Bp and to rat L22 ribosomal protein
BUD28	YLR062C	BUD28	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene RPL22A; diploid mutant displays a weak budding pattern phenotype in a systematic assay
BMT6	YLR063W	BMT6	Putative S-adenosylmethionine-dependent methyltransferase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR063W is not an essential gene
PER33	YLR064W	PER33	Protein that localizes to the endoplasmic reticulum with some nuclear pore complex association; deletion extends chronological lifespan; highly conserved across species, orthologous to human TMEM33 and paralogous to Pom33p
SND2	YLR065C	SND2	Putative protein of unknown function; YLR065C is not an essential gene
RFU1	YLR073C	RFU1	Protein that inhibits Doa4p deubiquitinating activity; contributes to ubiquitin homeostasis by regulating the conversion of free ubiquitin chains to ubiquitin monomers by Doa4p; GFP-fusion protein localizes to endosomes
BUD20	YLR074C	BUD20	Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
RPL10	YLR075W	RPL10	Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family
YLR076C	YLR076C	YLR076C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the essential gene RPL10 which encodes the ribosomal protein L10
BOS1	YLR078C	BOS1	v-SNARE (vesicle specific SNAP receptor), localized to the endoplasmic reticulum membrane and necessary for vesicular transport from the ER to the Golgi
GAL2	YLR081W	GAL2	Galactose permease, required for utilization of galactose; also able to transport glucose
EMP70	YLR083C	EMP70	Protein with a role in cellular adhesion, filamentous growth, and endosome-to-vacuole sorting; similar to Tmn2p and Tmn3p; member of Transmembrane Nine family of proteins with 9 transmembrane segments
ALT1	YLR089C	ALT1	Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthetic and catabolic processes; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
ICT1	YLR099C	ICT1	Lysophosphatidic acid acyltransferase, responsible for enhanced phospholipid synthesis during organic solvent stress; null displays increased sensitivity to Calcofluor white; highly expressed during organic solvent stress
AHP1	YLR109W	AHP1	Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p
YLR112W	YLR112W	YLR112W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
HOG1	YLR113W	HOG1	Mitogen-activated protein kinase involved in osmoregulation; acts via three independent osmosensors; mitophagy-specific regulator; mediates the recruitment and activation of RNA Pol II at Hot1p-dependent promoters; localization regulated by Ptp2p and Ptp3p
YPS1	YLR120C	YPS1	Aspartic protease, member of the yapsin family of proteases involved in cell wall growth and maintenance; attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor
YPS3	YLR121C	YPS3	Aspartic protease, member of the yapsin family of proteases involved in cell wall growth and maintenance; attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor
DIP2	YLR129W	DIP2	Nucleolar protein, specifically associated with the U3 snoRNA, part of the large ribonucleoprotein complex known as the small subunit (SSU) processome, required for 18S rRNA biogenesis, part of the active pre-rRNA processing complex
ZRT2	YLR130C	ZRT2	Low-affinity zinc transporter of the plasma membrane; transcription is induced under low-zinc conditions by the Zap1p transcription factor
PDC5	YLR134W	PDC5	Minor isoform of pyruvate decarboxylase, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde, regulation is glucose- and ethanol-dependent, repressed by thiamine, involved in amino acid catabolism
PUT1	YLR142W	PUT1	Proline oxidase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source
RMP1	YLR145W	RMP1	Subunit of RNase MRP, which processes pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; unlike most subunits, not shared between RNase MRP and nuclear RNase P
SPE4	YLR146C	SPE4	Spermine synthase, required for the biosynthesis of spermine and also involved in biosynthesis of pantothenic acid
YLR149C	YLR149C	YLR149C	Putative protein of unknown function; overexpression causes a cell cycle delay or arrest; null mutation results in a decrease in plasma membrane electron transport; YLR149C is not an essential gene
STM1	YLR150W	STM1	Protein required for optimal translation under nutrient stress; perturbs association of Yef3p with ribosomes; involved in TOR signaling; binds G4 quadruplex and purine motif triplex nucleic acid; helps maintain telomere structure
ACS2	YLR153C	ACS2	Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions
ASP3-3	YLR158C	ASP3-3	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; reference strain S288C has four copies of ASP3
YLR162W	YLR162W	YLR162W	Putative protein of unknown function; overexpression confers resistance to the antimicrobial peptide MiAMP1 and causes growth arrest, apoptosis, and increased sensitivity to cobalt chloride
RPS31	YLR167W	RPS31	Fusion protein that is cleaved to yield a ribosomal protein of the small (40S) subunit and ubiquitin; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; interacts genetically with translation factor eIF2B
DPH5	YLR172C	DPH5	Methyltransferase required for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); not essential for viability; GFP-Dph5p fusion protein localizes to the cytoplasm
CBF5	YLR175W	CBF5	Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita
